# These targets need resources/IM4M_0x8027 and verified usbliter8 offsets.
# slug	name	product	board	cpid	majors
ipad-pro-11-2018-wifi	iPad Pro 11 2018 WiFi	iPad8,1	j317ap	0x8027	18,26
ipad-pro-11-2018-wifi-1tb	iPad Pro 11 2018 WiFi 1TB	iPad8,2	j317xap	0x8027	18,26
ipad-pro-11-2018-cellular	iPad Pro 11 2018 Cellular	iPad8,3	j318ap	0x8027	18,26
ipad-pro-11-2018-cellular-1tb	iPad Pro 11 2018 Cellular 1TB	iPad8,4	j318xap	0x8027	18,26
ipad-pro-129-2018-wifi	iPad Pro 12.9 2018 WiFi	iPad8,5	j320ap	0x8027	18,26
ipad-pro-129-2018-wifi-1tb	iPad Pro 12.9 2018 WiFi 1TB	iPad8,6	j320xap	0x8027	18,26
ipad-pro-129-2018-cellular	iPad Pro 12.9 2018 Cellular	iPad8,7	j321ap	0x8027	18,26
ipad-pro-129-2018-cellular-1tb	iPad Pro 12.9 2018 Cellular 1TB	iPad8,8	j321xap	0x8027	18,26
ipad-pro-11-2020-wifi	iPad Pro 11 2020 WiFi	iPad8,9	j417ap	0x8027	18,26
ipad-pro-11-2020-cellular	iPad Pro 11 2020 Cellular	iPad8,10	j418ap	0x8027	18,26
ipad-pro-129-2020-wifi	iPad Pro 12.9 2020 WiFi	iPad8,11	j420ap	0x8027	18,26
ipad-pro-129-2020-cellular	iPad Pro 12.9 2020 Cellular	iPad8,12	j421ap	0x8027	18,26
